时间,危险行为,地点,证据保存
2022-07-06 15:56:06.432646,使用手机,山东,已保存图像
2022-07-06 16:01:39.976768,吸烟,山东,已保存图像
2022-07-06 16:02:13.327798,使用手机,山东,已保存图像
2022-07-06 16:02:56.293565,饮水,山东,已保存图像
2022-07-06 16:02:57.527685,使用手机,山东,已保存图像
2022-07-06 16:04:55.791138,使用手机,山东,已保存图像
2022-07-06 16:04:57.042964,吸烟,山东,已保存图像
2022-07-06 16:06:22.582103,饮水,山东,已保存图像
2022-07-06 16:06:23.058765,使用手机,山东,已保存图像
2022-07-06 16:08:08.861733,吸烟,山东,已保存图像
2022-07-06 16:08:09.672751,使用手机,山东,已保存图像
2022-07-06 16:11:05.630719,吸烟,山东,已保存图像
2022-07-06 16:15:23.626255,吸烟,山东,已保存图像
2022-07-06 16:20:53.632258,饮水,山东,已保存图像
2022-07-06 16:20:53.802793,吸烟,山东,已保存图像
2022-07-06 16:20:54.419095,使用手机,山东,已保存图像
2022-07-06 16:22:08.589066,使用手机,山东,已保存图像
2022-07-06 16:22:12.191801,吸烟,山东,已保存图像
2022-07-06 16:24:05.752581,吸烟,山东,已保存图像
2022-07-06 16:25:53.429414,饮水,山东,已保存图像
2022-07-06 16:25:53.577025,使用手机,山东,已保存图像
2022-07-06 16:34:14.254617,吸烟,山东,已保存图像
2022-07-06 16:39:34.718744,吸烟,山东,已保存图像
2022-07-06 16:39:42.006871,饮水,山东,已保存图像
2022-07-06 16:41:13.270557,吸烟,山东,已保存图像
2022-07-06 16:41:14.391445,饮水,山东,已保存图像
2022-07-06 16:41:19.702543,疲劳驾驶,山东,已保存图像
2022-07-06 16:48:35.091528,饮水,山东,已保存图像
2022-07-06 16:48:38.342444,吸烟,山东,已保存图像
2022-07-06 16:48:48.184658,疲劳驾驶,山东,已保存图像
2022-07-06 16:50:56.555214,饮水,山东,已保存图像
2022-07-06 16:51:06.175722,饮水,山东,已保存图像
2022-07-06 16:51:25.266859,吸烟,山东,已保存图像
2022-07-06 16:51:25.703513,使用手机,山东,已保存图像
2022-07-08 16:59:23.560619,使用手机,山东,已保存图像
2022-07-08 17:14:52.534143,使用手机,山东,已保存图像
2022-07-08 17:15:02.095553,吸烟,山东,已保存图像
